Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",123.64,-0.84,-0.67%,125.89,123.17,1267300,03/02/21
AAL,"American Airlines Gp",21.44,0.26,+1.23%,21.63,21.12,27502100,03/02/21
AAP,"Advance Auto Parts Inc",164.84,2.18,+1.34%,166.24,161.19,847300,03/02/21
AAPL,"Apple Inc",125.12,-2.67,-2.09%,128.72,125.01,102166500,03/02/21
ABBV,"Abbvie Inc",107.85,-0.56,-0.52%,109.38,107.81,5486200,03/02/21
ABC,"Amerisourcebergen Corp",104.25,1.08,+1.05%,104.36,102.63,742700,03/02/21
ABMD,"Abiomed Inc",325.31,1.05,+0.32%,327.78,318.46,204300,03/02/21
ABT,"Abbott Laboratories",122.53,0.32,+0.26%,123.1,121.19,4908100,03/02/21
ACN,"Accenture Plc",259.23,1.07,+0.41%,261.11,257.11,2099800,03/02/21
ADBE,"Adobe Systems Inc",466.59,-2.98,-0.63%,473.8,463.46,2210900,03/02/21
ADI,"Analog Devices",154.29,-4.3,-2.71%,159.41,154.03,3016400,03/02/21
ADM,"Archer Daniels Midland",57.37,0.07,+0.12%,57.84,57.01,2409500,03/02/21
ADP,"Automatic Data Procs",174.94,-2.56,-1.44%,177.99,173.86,2088400,03/02/21
ADSK,"Autodesk Inc",277.92,-6.35,-2.23%,286.9,277.33,1267200,03/02/21
AEE,"Ameren Corp",71.91,0.42,+0.59%,72.17,70.85,1422700,03/02/21
AEP,"American Electric Power Company",76.45,-0.26,-0.34%,77.15,75.89,3851900,03/02/21
AES,"The Aes Corp",26.81,-0.19,-0.70%,27.1,26.64,5638100,03/02/21
AFL,"Aflac Inc",48.64,-0.08,-0.16%,49.19,48.63,3894500,03/02/21
AIG,"American International Group",45.96,0.65,+1.43%,46.28,45.22,4611000,03/02/21
AIZ,"Assurant Inc",126.64,0.34,+0.27%,126.87,125.07,378300,03/02/21
AJG,"Arthur J. Gallagher & Company",121.7,-0.6,-0.49%,122.45,120.25,798200,03/02/21
AKAM,"Akamai Technologies",95.86,-0.08,-0.08%,98.56,95.84,1668900,03/02/21
ALB,"Albemarle Corp",153.72,0.77,+0.50%,158.63,153.37,1321200,03/02/21
ALGN,"Align Technology",563.21,-1.9,-0.34%,576.35,558,933200,03/02/21
ALK,"Alaska Air Group",65.42,0.59,+0.91%,65.82,64.05,1094400,03/02/21
ALL,"Allstate Corp",110.49,0.77,+0.70%,111.3,109.01,1337200,03/02/21
ALLE,"Allegion Plc",112.79,1.09,+0.98%,114.05,111,763400,03/02/21
ALXN,"Alexion Pharm Inc",150.37,-1.6,-1.05%,152.69,150.37,2346400,03/02/21
AMAT,"Applied Materials",117.5,-4.75,-3.89%,121.91,117.24,6501200,03/02/21
AMCR,"Amcor Plc",11.43,0.14,+1.24%,11.51,11.19,6094900,03/02/21
AMD,"Adv Micro Devices",84.13,-2.26,-2.62%,86.95,84.04,34803398,03/02/21
AME,"Amtek Inc",122.39,0.11,+0.09%,122.95,121.82,717200,03/02/21
AMGN,"Amgen Inc",225.69,-1.35,-0.59%,227.89,225.28,2407700,03/02/21
AMP,"Ameriprise Financial Services",225.79,-3.29,-1.44%,229.07,225.79,753600,03/02/21
AMT,"American Tower Corp",208.81,-4.96,-2.32%,214.87,208.76,2978700,03/02/21
AMZN,"Amazon.com Inc",3094.53,-51.61,-1.64%,3163.52,3087.12,2594000,03/02/21
ANET,"Arista Networks Inc",284.3,-3.64,-1.26%,288.29,282.54,624100,03/02/21
ANSS,"Ansys Inc",336.33,-9.78,-2.83%,350.78,334.91,566200,03/02/21
ANTM,"Anthem Inc",311.66,0.18,+0.06%,316.61,308.65,1328200,03/02/21
AON,"AON Plc",232.53,0.02,+0.01%,234.69,230.61,1426200,03/02/21
AOS,"Smith A.O. Corp",60.92,0.25,+0.41%,60.98,59.8,1175300,03/02/21
APA,"Apa Corp",19.5,-0.02,-0.10%,20.38,19.15,7414300,03/02/21
APD,"Air Products and Chemicals",266,4.81,+1.84%,266.97,261.39,1158300,03/02/21
APH,"Amphenol Corp",129.03,-0.93,-0.72%,130.99,128.86,1360800,03/02/21
APTV,"Aptiv Plc",154.21,-0.55,-0.36%,156.24,152.47,1098900,03/02/21
ARE,"Alexandria Real Estate Equities",160.85,1.27,+0.80%,161.6,158.73,1259000,03/02/21
ATO,"Atmos Energy Corp",87.24,1.49,+1.74%,87.44,85.8,1057900,03/02/21
