Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AFL,"Aflac Inc",49.95,1.55,+3.20%,48.98,50.1,48.62,4230500,03/05/21
AIG,"American International Group",46.97,0.7,+1.51%,46.94,47.27,45.9,5327800,03/05/21
AIZ,"Assurant Inc",131.92,3.84,+3.00%,128.99,132.23,128.6,375600,03/05/21
AJG,"Arthur J. Gallagher & Company",124.11,3.55,+2.94%,121.5,124.33,120.51,1288900,03/05/21
ALL,"Allstate Corp",111.62,2.27,+2.08%,110.4,112.33,109.49,2158300,03/05/21
AMP,"Ameriprise Financial Services",222.3,5.06,+2.33%,221.26,223.3,213.9,958600,03/05/21
AON,"AON Plc",232.76,6.72,+2.97%,228.17,233.01,225.67,1322200,03/05/21
AXP,"American Express Company",147.33,4.65,+3.26%,144.66,147.96,142.08,5048300,03/05/21
BAC,"Bank of America Corp",36.93,0.43,+1.18%,37.03,37.6,36.17,74292300,03/05/21
BEN,"Franklin Resources",26.47,0.85,+3.32%,25.95,26.5,24.91,6325900,03/05/21
BK,"Bank of New York Mellon Corp",45.03,0.27,+0.60%,45.4,45.72,44.4,5828700,03/05/21
BLK,"Blackrock Inc",702.28,19.07,+2.79%,691.9,704.03,670.28,698500,03/05/21
BRK.B,"Berkshire Hathaway Cl B",253.15,7.67,+3.12%,248.89,253.45,247.32,6401800,03/05/21
C,"Citigroup Inc",70.23,0.42,+0.60%,70.84,71.27,68.44,25406700,03/05/21
CB,"Chubb Ltd",171.67,5.67,+3.42%,168.39,172.54,166.42,2177500,03/05/21
CBOE,"CBOE Global Markets Inc",104.64,6.42,+6.54%,97.59,106.88,97.59,1770000,03/05/21
CFG,"Citizens Financial Group Inc/Ri",44.3,0.62,+1.42%,44.89,45.18,42.44,8907900,03/05/21
CINF,"Cincinnati Financial",104.26,4.39,+4.40%,101.42,104.68,100.08,667900,03/05/21
CMA,"Comerica Inc",69.88,1.51,+2.21%,69.78,70.58,66.85,1356500,03/05/21
CME,"CME Group Inc",213.92,6.9,+3.33%,209,215.64,208.19,3186100,03/05/21
COF,"Capital One Financial Corp",127.7,1.76,+1.40%,127.3,128.45,120.78,4443100,03/05/21
DFS,"Discover Financial Services",98.02,2.62,+2.75%,97.48,98.1,92.2,1961100,03/05/21
FITB,"Fifth Third Bncp",36.77,1.21,+3.40%,37.21,37.38,35.22,8728700,03/05/21
FRC,"First Republic Bank",167.1,0.72999999999999,+0.44%,170,170.32,163.33,1260900,03/05/21
GL,"Globe Life Inc",97.32,2.81,+2.97%,95.44,97.84,94.17,423400,03/05/21
GS,"Goldman Sachs Group",327.37,-1.92,-0.58%,335.58,335.58,316.46,3740300,03/05/21
HBAN,"Huntington Bcshs",16.23,0.45,+2.85%,16.14,16.34,15.56,11112800,03/05/21
HIG,"Hartford Financial Services Group",53.62,1.57,+3.02%,52.68,53.86,52.26,2234400,03/05/21
ICE,"Intercontinental Exchange",114.97,3.84,+3.46%,112.04,115.44,110.6,3007600,03/05/21
IVZ,"Invesco Plc",23.76,0.44,+1.89%,23.65,23.87,22.39,9183100,03/05/21
