Symbol,Name,Share_Price
gloomyPorpoise1,gloomyPorpoise1,53
puzzledTruffle8,puzzledTruffle8,632
amusedLemur1,amusedLemur1,799
goofyWildfowl2,goofyWildfowl2,451
amazedRhino3,amazedRhino3,343
grumpyBuzzard9,grumpyBuzzard9,471
needyOwl7,needyOwl7,639
ferventVenison2,ferventVenison2,999
shyBagels5,shyBagels5,419
trustingTruffle4,trustingTruffle4,981
peacefulLion7,peacefulLion7,164
fondSausage0,fondSausage0,242
exactingChamois3,exactingChamois3,784
murkyChamois9,murkyChamois9,303
cautiousUnicorn7,cautiousUnicorn7,390
wingedCaviar7,wingedCaviar7,751
somberIguana6,somberIguana6,286
sugaryCoati7,sugaryCoati7,347
gleefulMacaw3,gleefulMacaw3,740
aboardAbalone9,aboardAbalone9,143
